========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       11/07/19,,,,,,,
Time:       14:31,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    Production P-MT3620RDB-1-6,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
A1,W3006,TopLayer,W3006,40.2,74.725,315,W3006 Chip Antenna
A2,W3006,TopLayer,W3006,9.825,74.725,225,W3006 Chip Antenna
B1,HARWIN-S8421-45R,BottomLayer,HARWIN-S8421-45R,37.8,32.8251,360,SMT CR2032 coin cell holder
C1,8.2pF,TopLayer,TDK_2010,19.45,60.975,90,CAP CER 8.2PF 25V NP0 0201
C2,1.2pF,TopLayer,TDK_2010,19.225,60.175,360,CAP CER 1.2PF 25V C0G 0201
C3,1.2pF,TopLayer,TDK_2010,19.2,61.775,360,CAP CER 1.2PF 25V C0G 0201
C5,3.3pF,TopLayer,TDK_2010,25.8,60.85,180,Cap Ceramic 3.3pF 25V C0G 0.25pF SMD 0201 125C T/R
C6,1.2pF,TopLayer,TDK_2010,25.2,65.5,180,CAP CER 1.2PF 25V C0G 0201
C7,1.2pF,TopLayer,TDK_2010,24.475,66.3,90,CAP CER 1.2PF 25V C0G 0201
C8,1.2pF,TopLayer,TDK_2010,18.55,59.625,180,CAP CER 1.2PF 25V C0G 0201
C9,1.2pF,TopLayer,TDK_2010,18.55,61.225,180,CAP CER 1.2PF 25V C0G 0201
C10,2.7pF,TopLayer,TDK_2010,22,58.6751,180,CAP CER 2.7PF 25V C0G 0201
C11,1.8pF,TopLayer,TDK_2010,21.975,60.275,180,CAP CER 1.8PF 25V NP0 0201
C12,2.7pF,TopLayer,TDK_2010,23,58.6751,180,CAP CER 2.7PF 25V C0G 0201
C13,1.8pF,TopLayer,TDK_2010,23.025,60.275,180,CAP CER 1.8PF 25V NP0 0201
C14,100pF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,21.025,62.65,270,CAP CER 100PF 50V 5% NP0 0402
C15,0.3pF,TopLayer,TDK_2010,18.7,65.5,360,CAP CER 0.3PF 25V C0G 0201
C16,0.3pF,TopLayer,TDK_2010,19.75,66.275,90,CAP CER 0.3PF 25V C0G 0201
C17,10pF,TopLayer,TDK_2010,19.6751,67.55,180,CAP CER 10PF 25V C0G 0201
C18,1.2pF,TopLayer,TDK_2010,20.475,67.825,270,CAP CER 1.2PF 25V C0G 0201
C19,1.2pF,TopLayer,TDK_2010,18.875,67.825,270,CAP CER 1.2PF 25V C0G 0201
C20,10pF,TopLayer,TDK_2010,25.375,67.55,360,CAP CER 10PF 25V C0G 0201
C21,1.2pF,TopLayer,TDK_2010,24.6,67.825,270,CAP CER 1.2PF 25V C0G 0201
C22,1.2pF,TopLayer,TDK_2010,26.175,67.825,270,CAP CER 1.2PF 25V C0G 0201
C23,10pF,TopLayer,CAPC1005-EIA0402_0.55MM_MED_-_THREE_WAY,11.325,65.9682,225,CAP CER 10PF 50V NP0 0402 - Three-way pads
C24,4.7µF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,42.775,9.175,90,CAP CER 4.7UF 10V 10% X5R 0402
C25,10µF,BottomLayer,CAPC1608-EIA0603-1MM-MED,32.825,11.275,270,CAP CER 10UF 25V 20% X5R 0603
C26,33pF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,27.35,10.325,180,CAP CER 33PF 50V 5% NP0 0402
C27,33uF,BottomLayer,TDK_0805,27.875,7.325,270,CAP CER 33UF 6.3V X5R 0805
C33,0.1µF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,38.475,12.575,360,CAP CER 0.1UF 50V 10% X7R 0402
C34,10pF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,26.65,20.825,270,CAP CER 10PF 50V NP0 0402
C35,10pF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,22.65,20.825,90,CAP CER 10PF 50V NP0 0402
C36,0.1µF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,16.725,21.475,90,CAP CER 0.1UF 50V 10% X7R 0402
C37,0.1µF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,13.825,15.525,90,CAP CER 0.1UF 50V 10% X7R 0402
C38,10µF,TopLayer,CAPC1608-EIA0603-1MM-MED,37.1,49.225,90,CAP CER 10UF 25V 20% X5R 0603
C39,1.0µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,33.975,45.3,180,CAP CER 1UF 35V 10% X5R 0402
C40,1.0µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,29.975,43.6,90,CAP CER 1UF 35V 10% X5R 0402
C41,22pF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,31.125,3.075,90,CAP CER 22PF 50V 5% NP0 0402
C42,4.7µF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,24.225,32.075,270,CAP CER 4.7UF 10V 10% X5R 0402
C43,2.0pF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,16.8,53.525,360,CAP CER 2PF 50V NP0 0402
C44,0.1µF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,21.475,20.825,90,CAP CER 0.1UF 50V 10% X7R 0402
C45,0.1µF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,12.6,25.925,270,CAP CER 0.1UF 50V 10% X7R 0402
C46,0.1µF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,19.45,33.375,180,CAP CER 0.1UF 50V 10% X7R 0402
C48,0.1µF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,20.325,10.15,360,CAP CER 0.1UF 50V 10% X7R 0402
C49,10µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,35.15,47.2,270,CAP CER 10UF 6.3V 20% X5R 0402
C50,10µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,34.225,47.2,270,CAP CER 10UF 6.3V 20% X5R 0402
C52,0.1µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,33.275,46.675,90,CAP CER 0.1UF 50V 10% X7R 0402
C53,10µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,31.575,43.7,90,CAP CER 10UF 6.3V 20% X5R 0402
C55,2.2µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,32.525,44.175,90,CAP CER 2.2UF 35V 10% X5R 0402
C56,0.1µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,29.95,59.55,270,CAP CER 0.1UF 50V 10% X7R 0402
C57,0.1µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,29.05,59.55,270,CAP CER 0.1UF 50V 10% X7R 0402
C58,0.1µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,15.6,49.775,360,CAP CER 0.1UF 50V 10% X7R 0402
C59,0.1µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,22.875,43.125,90,CAP CER 0.1UF 50V 10% X7R 0402
C60,0.1µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,32.8,52.75,180,CAP CER 0.1UF 50V 10% X7R 0402
C61,0.1µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,32.35,54.05,90,CAP CER 0.1UF 50V 10% X7R 0402
C62,0.47µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,15.6,50.675,360,CAP CER 0.47UF 35V 10% X5R 0402
C63,0.47µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,16.65,45.575,360,CAP CER 0.47UF 35V 10% X5R 0402
C64,0.47µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,24.25,43.125,90,CAP CER 0.47UF 35V 10% X5R 0402
C65,1.0µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,30.75,41.5,90,CAP CER 1UF 35V 10% X5R 0402
C67,0.47µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,32.8,51.875,180,CAP CER 0.47UF 35V 10% X5R 0402
C68,0.47µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,32.875,56,180,CAP CER 0.47UF 35V 10% X5R 0402
C69,0.47µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,31.75,59.55,270,CAP CER 0.47UF 35V 10% X5R 0402
C70,0.47µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,30.85,59.55,270,CAP CER 0.47UF 35V 10% X5R 0402
C71,0.1µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,29.775,41.5,90,CAP CER 0.1UF 50V 10% X7R 0402
C72,0.1µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,28.325,43.3,90,CAP CER 0.1UF 50V 10% X7R 0402
C74,4.7µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,16.85,56.625,360,CAP CER 4.7UF 10V 10% X5R 0402
C75,10pF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,16.85,57.475,360,CAP CER 10PF 50V NP0 0402
C76,2.2µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,16.85,54.925,360,CAP CER 2.2UF 35V 10% X5R 0402
C77,10pF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,16.85,55.775,360,CAP CER 10PF 50V NP0 0402
C78,10pF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,21.025,59.2,270,CAP CER 10PF 50V NP0 0402
C79,2.2µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,21.025,61,90,CAP CER 2.2UF 35V 10% X5R 0402
C80,10pF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,23.975,59.2,270,CAP CER 10PF 50V NP0 0402
C81,2.2µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,23.975,61,90,CAP CER 2.2UF 35V 10% X5R 0402
C82,10pF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,16.85,59.175,360,CAP CER 10PF 50V NP0 0402
C83,2.2µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,16.85,58.325,360,CAP CER 2.2UF 35V 10% X5R 0402
C84,1.0µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,26,42.825,90,CAP CER 1UF 35V 10% X5R 0402
C85,0.1µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,26.875,43.45,90,CAP CER 0.1UF 50V 10% X7R 0402
C86,0.1µF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,27.65,16.275,360,CAP CER 0.1UF 50V 10% X7R 0402
C87,15pF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,27.3,39.175,90,CAP CER 15PF 50V 5% NP0 0402
C88,15pF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,32.05,39.275,270,CAP CER 15PF 50V 5% NP0 0402
C89,10pF,TopLayer,CAPC1005-EIA0402_0.55MM_MED_-_THREE_WAY,38.675,65.9068,45,CAP CER 10PF 50V NP0 0402 - Three-way pads
C90,1.0µF,TopLayer,CAPC1005-EIA0402_0.55MM_MED,32.2,47.85,270,CAP CER 1UF 35V 10% X5R 0402
C91,10pF,TopLayer,TDK_2010,20.275,67.05,360,CAP CER 10PF 25V C0G 0201
C92,10pF,TopLayer,TDK_2010,24.175,67.05,180,CAP CER 10PF 25V C0G 0201
C93,10pF,TopLayer,TDK_2010,23.75,66.55,360,CAP CER 10PF 25V C0G 0201
C94,10pF,TopLayer,TDK_2010,20.6,66.55,180,CAP CER 10PF 25V C0G 0201
C95,1.0µF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,30.65,3.525,360,CAP CER 1UF 35V 10% X5R 0402
C96,10000pF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,33.725,2.125,360,CAP CER 10000PF 50V 10% X7R 0402
C97,4.7µF,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,20.125,15.1,180,CAP CER 4.7UF 10V 10% X5R 0402
D1,LTST-C19HE1WT,TopLayer,LTST-C19HE1WT,9.1,3.5,0,LED RGB DIFFUSED 0606 SMD
D2,LTST-C19HE1WT,TopLayer,LTST-C19HE1WT,11.7,3.5,0,LED RGB DIFFUSED 0606 SMD
D3,LTST-C19HE1WT,TopLayer,LTST-C19HE1WT,14.3,3.5,0,LED RGB DIFFUSED 0606 SMD
D4,LTST-C19HE1WT,TopLayer,LTST-C19HE1WT,16.9,3.5,0,LED RGB DIFFUSED 0606 SMD
D5,LTST-C19HE1WT,TopLayer,LTST-C19HE1WT,41,3.5,0,LED RGB DIFFUSED 0606 SMD
D6,LTST-C19HE1WT,TopLayer,LTST-C19HE1WT,38.4,3.5,0,LED RGB DIFFUSED 0606 SMD
D7,Red LED,TopLayer,Rohm_SML-D12_Red,35.8,3.5,90,1.6 x 0.8 x 0.55mm (0603) LED 620nm Red
D8,Green LED,TopLayer,Rohm_SML-D12_Green,33.2,3.5,90,1.6 x 0.8 x 0.55mm (0603) LED 560nm Green
D9,BAR43CFILM,BottomLayer,ON_SEMI-SOT23-3,16.95,16.75,180,DIODE ARRAY SCHOTTKY 30V SOT23-3
GND,20-2136,TopLayer,20-2136,45,19.625,0,"VERO - 20-2136 - TERMINAL, PCB, BLACK, PK100"
H1,TSM-106-01-L-DV-A,TopLayer,TSM-106-01-L-DV-A,5.057,49.889,270,"CONN HEADER 12POS .100 SMD GOLD"""
H2,TSM-107-01-L-DV-A,TopLayer,TSM-107-01-L-DV-A,5,32.109,270,"CONN HEADER 14POS .100 SMD GOLD"""
H3,TSM-106-01-L-DV-A,TopLayer,TSM-106-01-L-DV-A,45.057,49.889,270,"CONN HEADER 12POS .100 SMD GOLD"""
H4,TSM-107-01-L-DV-A,TopLayer,TSM-107-01-L-DV-A,45.05,32.109,270,"CONN HEADER 14POS .100 SMD GOLD"""
J1,MOLEX-0022284020,TopLayer,22284020,5.0508,20.7044,360,CONN HEADER 2POS .100 VERT TIN
J2,MOLEX-0022284020,TopLayer,22284020,5.0508,16.8944,0,CONN HEADER 2POS .100 VERT TIN
J3,MOLEX-0022284030,TopLayer,22284030,6.3208,13.0844,360,CONN HEADER 3POS .100 VERT TIN
J4,Micro-USB socket,TopLayer,MCR-B-S-RA-SMT-CS5-T/R,25,3.325,180,Micro-USB socket
J5,FC68145S,TopLayer,FC68145S,44,12.25,270,"CLIFF ELECTRONIC COMPONENTS, FC68145S, DC Power Connector, Jack, 1 A, 1.3 mm, Surface Mount"
J6,MM8030-2610,TopLayer,MM8030-2610,15.1,65.975,270,CONN UMC RECEPT SMD 2x2mm
J7,MM8030-2610,TopLayer,MM8030-2610,31.7,65.9,90,CONN UMC RECEPT SMD 2x2mm
J8,U.FL-R-SMT-1(10),TopLayer,U.FL-R-SMT-1(10),11,62.4625,180,CONN UMC JACK STR 50 OHM SMD
J9,U.FL-R-SMT-1(10),TopLayer,U.FL-R-SMT-1(10),39,62.4625,180,CONN UMC JACK STR 50 OHM SMD
L1,1.2nH,TopLayer,TDK_2010,25.55,60.025,90,FIXED IND 1.2NH 1A 80 MOHM SMD
L2,0.8nH,TopLayer,TDK_2010,18.275,60.425,90,FIXED IND 0.8NH 1A 70 MOHM SMD
L4,1nH,TopLayer,TDK_2010,22.075,64.1,90,FIXED IND 1NH 1A 70 MOHM SMD
L5,1nH,TopLayer,TDK_2010,21.25,64.65,270,FIXED IND 1NH 1A 70 MOHM SMD
L7,1.5nH,TopLayer,TDK_2010,6.5,69.125,135,"MURATA - LQP03TN1N5B02D - INDUCTOR, 1.5NH, 0.6A, 0.1NH, 15GHZ"
L8,1.5nH,TopLayer,TDK_2010,43.575,69.075,45,"MURATA - LQP03TN1N5B02D - INDUCTOR, 1.5NH, 0.6A, 0.1NH, 15GHZ"
L9,2.2µH,BottomLayer,NR3015T2R2M,31.075,6.85,270,FIXED IND 2.2UH 1.5A 72 MOHM SMD
L10,2.2µH,TopLayer,MAMK2520T2R2M,34.8,49.35,360,FIXED IND 2.2UH 1.9A 117 MOHM
L11,FERRITE BEAD,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,22.425,18.85,360,FERRITE BEAD 120 OHM 0402 1LN
L12,FERRITE BEAD,BottomLayer,CAPC1005-EIA0402_0.55MM_MED,17.7,21.475,270,FERRITE BEAD 120 OHM 0402 1LN
L13,1.2nH,TopLayer,TDK_2010,25.825,59.2,180,FIXED IND 1.2NH 1A 80 MOHM SMD
L14,2.0nH,TopLayer,TDK_2010,25.8,61.425,180,FIXED IND 2NH 700MA 120 MOHM SMD
Q1,SI3590DV-T1-E3,BottomLayer,SI3590DV-T1-E3,39.65,9.675,90,MOSFET N&P-CH 30V (D-S)
Q2,SI1317DL-T1-GE3,BottomLayer,VISHAY_SOT-323,43.8,15.625,180,"VISHAY SI1317DL-T1-GE3 MOSFET Transistor, P Channel, -1.4 A, -20 V, 0.125 ohm, -4.5 V, 450 mV"
Q3,BCM857DS,BottomLayer,NXP-SOT457,36.7,4.15,90,"BJT ARRAY, DUAL PNP, -45V, -100MA, 6-SOT-457"
R1,0R,TopLayer,TDK_2010,25,66.3,270,RES SMD 0.0OHM JUMPER 1/20W 0201
R2,0R,TopLayer,TDK_2010,22.25,59.475,270,RES SMD 0.0OHM JUMPER 1/20W 0201
R3,0R066,BottomLayer,VISHAY-0603,36.3,8.05,180,Current Sense Resistors - SMD .4watt .066ohm 1%
R4,150K,BottomLayer,RES_0402_MEDIUM_DENSITY,27.35,11.275,360,RES 150K OHM 1/10W 1% 0402 SMD
R5,33.2K,BottomLayer,RES_0402_MEDIUM_DENSITY,27.35,12.225,180,RES 33.2K OHM 1/10W 1% 0402 SMD
R6,604R,TopLayer,RES_0402_MEDIUM_DENSITY,35.8,5.875,270,RES 604 OHM 1/10W 1% 0402 SMD
R7,4K7,BottomLayer,RES_0402_MEDIUM_DENSITY,24.65,26.75,360,RES 4.7K OHM 1/10W 1% 0402 SMD
R8,100K,BottomLayer,RES_0402_MEDIUM_DENSITY,13.825,17.375,270,RES 100K OHM 1/10W 1% 0402 SMD
R9,4K7,TopLayer,RES_0402_MEDIUM_DENSITY,34.275,59.025,90,RES 4.7K OHM 1/10W 1% 0402 SMD
R10,523K,BottomLayer,RES_0402_MEDIUM_DENSITY,18.225,10.575,90,RES 523K OHM 1/10W 1% 0402 SMD
R11,154K,BottomLayer,RES_0402_MEDIUM_DENSITY,19.875,4.875,360,RES 154K OHM 1/10W 1% 0402 SMD
R12,1M,BottomLayer,RES_0402_MEDIUM_DENSITY,18.225,8.725,90,RES 1M OHM 1/10W 1% 0402 SMD
R13,100R,TopLayer,RES_0402_MEDIUM_DENSITY,33.2,5.875,270,RES 100 OHM 1/10W 1% 0402 SMD
R14,680R,TopLayer,RES_0402_MEDIUM_DENSITY,40.75,5.875,90,RES 680 OHM 1/10W 1% 0402 SMD
R15,620R,TopLayer,RES_0402_MEDIUM_DENSITY,41.7,5.875,90,RES 620 OHM 1/10W 1% 0402 SMD
R16,300R,TopLayer,RES_0402_MEDIUM_DENSITY,39.8,5.875,270,RES 300 OHM 1/10W 1% 0402 SMD
R17,680R,TopLayer,RES_0402_MEDIUM_DENSITY,37.9,5.875,90,RES 680 OHM 1/10W 1% 0402 SMD
R18,620R,TopLayer,RES_0402_MEDIUM_DENSITY,38.85,5.875,90,RES 620 OHM 1/10W 1% 0402 SMD
R19,300R,TopLayer,RES_0402_MEDIUM_DENSITY,36.95,5.875,270,RES 300 OHM 1/10W 1% 0402 SMD
R20,4K7,TopLayer,RES_0402_MEDIUM_DENSITY,33.3,59.025,90,RES 4.7K OHM 1/10W 1% 0402 SMD
R21,4K7,TopLayer,RES_0402_MEDIUM_DENSITY,39.075,57.075,180,RES 4.7K OHM 1/10W 1% 0402 SMD
R22,4K7,TopLayer,RES_0402_MEDIUM_DENSITY,39.075,58.025,360,RES 4.7K OHM 1/10W 1% 0402 SMD
R23,4K7,TopLayer,RES_0402_MEDIUM_DENSITY,35.25,59.025,90,RES 4.7K OHM 1/10W 1% 0402 SMD
R24,4K7,TopLayer,RES_0402_MEDIUM_DENSITY,22.45,37.95,180,RES 4.7K OHM 1/10W 1% 0402 SMD
R25,1M,TopLayer,RES_0402_MEDIUM_DENSITY,30.175,3.075,270,RES 1M OHM 1/10W 1% 0402 SMD
R26,2.2K,BottomLayer,RES_0402_MEDIUM_DENSITY,40.125,18.7,360,RES 2.2K OHM 1/10W 1% 0402 SMD
R27,10K,BottomLayer,RES_0402_MEDIUM_DENSITY,38.3,18.7,360,RES 10K OHM 1/10W 1% 0402 SMD
R28,10K,BottomLayer,RES_0402_MEDIUM_DENSITY,39.9,12.25,90,RES 10K OHM 1/10W 1% 0402 SMD
R29,10K,BottomLayer,RES_0402_MEDIUM_DENSITY,40.85,12.25,90,RES 10K OHM 1/10W 1% 0402 SMD
R30,12K,BottomLayer,RES_0402_MEDIUM_DENSITY,20.55,21.45,270,RES 12K OHM 1/10W 1% 0402 SMD
R31,10K,BottomLayer,RES_0402_MEDIUM_DENSITY,14.85,22.25,360,RES 10K OHM 1/10W 1% 0402 SMD
R32,4K7,BottomLayer,RES_0402_MEDIUM_DENSITY,28.15,17.6,90,RES 4.7K OHM 1/10W 1% 0402 SMD
R34,4K7,BottomLayer,RES_0402_MEDIUM_DENSITY,27.75,14.625,180,RES 4.7K OHM 1/10W 1% 0402 SMD
R35,2.2K,BottomLayer,RES_0402_MEDIUM_DENSITY,24.65,27.65,180,RES 2.2K OHM 1/10W 1% 0402 SMD
R36,4K7,BottomLayer,RES_0402_MEDIUM_DENSITY,15.1,33.5,360,RES 4.7K OHM 1/10W 1% 0402 SMD
R37,33R,TopLayer,RES_0402_MEDIUM_DENSITY,21.6,68.875,180,RES 33 OHM 1/10W 1% 0402 SMD
R38,2.2K,BottomLayer,RES_0402_MEDIUM_DENSITY,24.65,28.575,0,RES 2.2K OHM 1/10W 1% 0402 SMD
R39,33R,TopLayer,RES_0402_MEDIUM_DENSITY,23.425,68.875,360,RES 33 OHM 1/10W 1% 0402 SMD
R42,4.7K,TopLayer,THREE-WAY-0402-NO-SHORT-RIGHT,35.075,41.775,270,RES SMD 4.7K JUMPER 1/10W 0402
R43,4K7,TopLayer,THREE-WAY-0402-NO-SHORT,37.15,40.875,180,RES SMD 4.7K JUMPER 1/10W 0402
R44,33R,BottomLayer,RES_0402_MEDIUM_DENSITY,30.675,19.6,180,RES 33 OHM 1/10W 1% 0402 SMD
R45,33R,BottomLayer,RES_0402_MEDIUM_DENSITY,32.075,19.525,270,RES 33 OHM 1/10W 1% 0402 SMD
R46,33R,BottomLayer,RES_0402_MEDIUM_DENSITY,34,16.5,180,RES 33 OHM 1/10W 1% 0402 SMD
R47,33R,BottomLayer,RES_0402_MEDIUM_DENSITY,29.6,13.925,360,RES 33 OHM 1/10W 1% 0402 SMD
R48,33R,BottomLayer,RES_0402_MEDIUM_DENSITY,12.6,27.725,90,RES 33 OHM 1/10W 1% 0402 SMD
R49,33R,BottomLayer,RES_0402_MEDIUM_DENSITY,12.6,29.525,90,RES 33 OHM 1/10W 1% 0402 SMD
R50,33R,BottomLayer,RES_0402_MEDIUM_DENSITY,12.525,32.075,270,RES 33 OHM 1/10W 1% 0402 SMD
R51,4K7,TopLayer,RES_0402_MEDIUM_DENSITY,13.375,56.85,180,RES 4.7K OHM 1/10W 1% 0402 SMD
R53,4K7,TopLayer,RES_0402_MEDIUM_DENSITY,15.9,43.725,180,RES 4.7K OHM 1/10W 1% 0402 SMD
R54,4K7,TopLayer,RES_0402_MEDIUM_DENSITY,15.9,44.6,180,RES 4.7K OHM 1/10W 1% 0402 SMD
R55,4K7,TopLayer,RES_0402_MEDIUM_DENSITY,39.1,53.9,90,RES 4.7K OHM 1/10W 1% 0402 SMD
R56,10K,BottomLayer,RES_0402_MEDIUM_DENSITY,33.85,4.15,180,RES 10K OHM 1/10W 1% 0402 SMD
R57,10K,BottomLayer,RES_0402_MEDIUM_DENSITY,33.85,5.1,180,RES 10K OHM 1/10W 1% 0402 SMD
R58,0R,TopLayer,TDK_2010,22.75,59.475,270,RES SMD 0.0OHM JUMPER 1/20W 0201
R59,0R,TopLayer,TDK_2010,19,66.275,270,RES SMD 0.0OHM JUMPER 1/20W 0201
R60,0R,BottomLayer,RES_0402_MEDIUM_DENSITY,45.825,16.125,90,RES 0.0 OHM 1/10W JUMP 0402 SMD
R61,10.2R,BottomLayer,RES_0402_MEDIUM_DENSITY,30.65,2.625,360,RES 10.2 OHM 1/10W 1% 0402 SMD
R62,100R,BottomLayer,RES_0402_MEDIUM_DENSITY,35.95,2.025,180,RES 100 OHM 1/10W 1% 0402 SMD
R63,470R,BottomLayer,RES_0402_MEDIUM_DENSITY,14.8,15.525,270,RES 470 OHM 1/10W 1% 0402 SMD
RP1,680R,TopLayer,EXB-N8V,13,7.75,0,Res Thick Film Array 680 Ohm 5% ±200ppm/C ISOL Molded 8-Pin 0804(4 X 0402) Concave SMD Punched Carrier T/R
RP2,620R,TopLayer,EXB-N8V,10.25,7.75,360,Res Thick Film Array 620 Ohm 5% 200ppm/C ISOL Molded 8-Pin 0804(4 X 0402) Concave SMD Punched Carrier T/R
RP3,300R,TopLayer,EXB-N8V,15.75,7.75,360,Res Thick Film Array 300 Ohm 5% 200ppm/C ISOL Molded 8-Pin 0804(4 X 0402) Concave SMD Punched Carrier T/R
SW1,Push Button,TopLayer,DHT-1158,25,18.5,0,
SW2,SWI TACT SPN0 PANASONIC EVQQ2P03W,TopLayer,EVQQ2P03W,14.2,18.5,0,"PANASONIC - EVQQ2P03W - SWITCH, SPNO, SMD"
SW3,SWI TACT SPN0 PANASONIC EVQQ2P03W,TopLayer,EVQQ2P03W,35.8,18.5,0,"PANASONIC - EVQQ2P03W - SWITCH, SPNO, SMD"
U1,MT3620AN,TopLayer,MT3620_MaskSquaresVias50,25,51,0,MT3620AN
U2,DP1608-A2455SC,TopLayer,DP1608-A2455SC,24.85,64.3,270,Diplexer
U3,DP1608-A2455SC,TopLayer,DP1608-A2455SC,18.975,64.3,270,Diplexer
U4,BL1608-05A2450TB,TopLayer,BL1608-05A2450TB,22.5,62.1001,90,Balun
U5,SKY13411-374LF,TopLayer,SKY13411-374LF,22.225,67.05,360,RF SWITCH
U8,LTC4361CDC-1,BottomLayer,LTC4361-1#TRPBF,35.05,10.35,90,"LINEAR TECHNOLOGY LTC4361CDC-1#TRMPBF IC, OVERVOLTAGE/CUR PROT, 8DFN"
U9,TLV62569DBVR,BottomLayer,TI-SOT23-6,30.35,11.275,270,Variable voltage buck converter
U12,EMI2121MTTAG,BottomLayer,EMI2121MTTAG,24.2,8,180,IC FILTER COMMON MODE ESD 8WDFN
U13,LTC6993CS6-2#TRMPBF,BottomLayer,LTC6993CS6-2#TRMPBF,20.375,7.525,180,"LINEAR TECHNOLOGY - LTC6993CS6-2#TRMPBF - GENERATOR, PULSE, TIMERBLOX, 6SOT-23"
U14,93LC56BT-I/OT,BottomLayer,SOT23-93C56B,39.9,15.25,270,IC EEPROM 2KBIT 2MHZ SOT23-6
U16,FT4232HQ,BottomLayer,FTDI_TF4232HQ_64QFN,18.6,27.875,90,IC USB HS QUAD UART/SYNC 64-QFN
U17,NC7SZ08P5X,BottomLayer,SC-70-5,20.8,12,270,IC GATE AND 1CH 2-INP SC-70-5
U18,74LCX126BQX,BottomLayer,74LCX126BQX,30.8,16.75,360,IC BUFFER QUAD LV N-INV 14DQFN
X1,26MHz,TopLayer,CT2520DB26000C0FZZA1,14.1,53.675,360,26MHz crystal
X2,32.768kHz,TopLayer,9HT10-32.768KDZF-T,29.675,39.275,0,32.768kHz ±20ppm Crystal 12.5pF 70 kOhm -40°C ~ 85°C  Surface Mount 2-SMD
X3,12MHz,BottomLayer,TXC_8Z,24.65,20.825,360,CRYSTAL 12.000 MHZ 18PF SMD
